epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,64.1349,0.76208,1.80288,1.05399,1.02602,0.8182,0.5,0.59457,0.32441,0.73307,0.43574,0.46285,0.261,1.81813,2.82734,1.64468,1.50847,2.89861e-05,2.89861e-05,2.89861e-05
43,65.1502,0.39664,1.57874,1.00584,0.96719,0.82105,0.5,0.59339,0.32442,0.74574,0.44227,0.45861,0.25835,1.83171,2.8169,1.67094,1.51227,2.91983e-05,2.91983e-05,2.91983e-05
44,66.0389,0.84646,2.44264,1.9778,1.18162,0.82105,0.5,0.59339,0.32442,0.74574,0.44227,0.45861,0.25835,1.83171,2.8169,1.67094,1.51227,2.93869e-05,2.93869e-05,2.93869e-05
45,67.3383,0.5528,1.8525,1.0904,1.02586,0.82018,0.5,0.57957,0.32076,0.74308,0.44731,0.46295,0.25879,1.84216,2.75415,1.74779,1.52072,2.9552e-05,2.9552e-05,2.9552e-05
46,68.4944,0.69689,1.81644,1.3522,1.0806,0.82018,0.5,0.57957,0.32076,0.74308,0.44731,0.46295,0.25879,1.84216,2.75415,1.74779,1.52072,2.96935e-05,2.96935e-05,2.96935e-05
47,69.4876,0.88027,1.88573,1.59522,1.18156,0.80665,0.5,0.58072,0.30938,0.73266,0.45154,0.42912,0.26934,1.86064,2.79899,1.80436,1.52983,2.98114e-05,2.98114e-05,2.98114e-05
48,70.4351,0.5879,1.45388,0.88786,1.00816,0.80665,0.5,0.58072,0.30938,0.73266,0.45154,0.42912,0.26934,1.86064,2.79899,1.80436,1.52983,2.99058e-05,2.99058e-05,2.99058e-05
49,71.6019,0.66927,1.67902,0.7331,1.04642,0.83711,0.5,0.57752,0.30908,0.75981,0.4513,0.42923,0.25274,1.85646,2.7632,1.88857,1.54298,2.99766e-05,2.99766e-05,2.99766e-05
50,72.5625,0.66907,1.6485,0.83342,1.01518,0.83711,0.5,0.57752,0.30908,0.75981,0.4513,0.42923,0.25274,1.85646,2.7632,1.88857,1.54298,3.00238e-05,3.00238e-05,3.00238e-05
51,73.5478,0.68459,1.61224,0.84897,1.06889,0.84228,0.5,0.5372,0.30561,0.75989,0.4498,0.42938,0.25277,1.83728,2.73679,1.9196,1.53101,3.00475e-05,3.00475e-05,3.00475e-05
